entity_type,entity,date,severity,описание,real_user,event_count,time_range,top_hours,программы,top_event_names,top_users,top_hosts,top_addresses,source_files
user,user048,2025-12-23,low,События: 9552. Диапазон времени: 2025-12-23 05:16:12 — 2025-12-23 23:59:03. Пиковые часы: 13:00 (1716); 08:00 (1447); 14:00 (926); 09:00 (639); 07:00 (538). Запуск ПО: Trusted Zone (3570); C:\\Windows\\System32\\svchost.exe (1613); - (1396); Kerberos (918); C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe (793). События/ID: Microsoft-Windows-Security-Auditing (5982); end (3570); TRAFFIC (3570); 4688 (3208); A new process has been created. (3208). Сетевые адреса/сайты: 10.50.21.112 (3230); 10.14.1.72 (1698); 10.50.11.20 (652); 10.14.1.71 (260); 150.171.27.11 (136).,,9552,2025-12-23 05:16:12 — 2025-12-23 23:59:03,13:00 (1716); 08:00 (1447); 14:00 (926); 09:00 (639); 07:00 (538),Trusted Zone (3570); C:\\Windows\\System32\\svchost.exe (1613); - (1396); Kerberos (918); C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe (793),Microsoft-Windows-Security-Auditing (5982); end (3570); TRAFFIC (3570); 4688 (3208); A new process has been created. (3208),user048 (9552); - (3284); tmtp-003366$ (2019),,10.50.21.112 (3230); 10.14.1.72 (1698); 10.50.11.20 (652); 10.14.1.71 (260); 150.171.27.11 (136),user048_SIEM_2025-12-23.csv; user048_PAN_2025-12-23.csv
user,user005,2025-12-23,low,События: 22208. Диапазон времени: 2025-12-23 00:00:14 — 2025-12-23 23:59:38. Пиковые часы: 10:00 (1779); 11:00 (1641); 20:00 (1320); 19:00 (1292); 08:00 (1268). Запуск ПО: Trusted Zone (10053); - (3330); Kerberos (2454); Android-SAMSUNG-SM-S928B/101.16 (1266); NtLmSsp (850). События/ID: TRAFFIC (10053); end (10053); Microsoft-Windows-Security-Auditing (9586); 4624 (3334); An account was successfully logged on. (3334). Сетевые адреса/сайты: 10.14.1.71 (5138); 10.14.1.72 (3330); 10.50.34.12 (2091); 10.50.11.20 (1195); 79.133.169.81 (524).,dwm-6,22208,2025-12-23 00:00:14 — 2025-12-23 23:59:38,10:00 (1779); 11:00 (1641); 20:00 (1320); 19:00 (1292); 08:00 (1268),Trusted Zone (10053); - (3330); Kerberos (2454); Android-SAMSUNG-SM-S928B/101.16 (1266); NtLmSsp (850),TRAFFIC (10053); end (10053); Microsoft-Windows-Security-Auditing (9586); 4624 (3334); An account was successfully logged on. (3334),user005 (22208); - (6982); tmtp-000143$ (455); spb-msg02$ (34); spb-msg01$ (21),,10.14.1.71 (5138); 10.14.1.72 (3330); 10.50.34.12 (2091); 10.50.11.20 (1195); 79.133.169.81 (524),user005_SIEM_2025-12-23.csv; user005_PAN_2025-12-23.csv
user,user011,2025-12-23,low,События: 17077. Диапазон времени: 2025-12-23 00:00:09 — 2025-12-23 23:59:44. Пиковые часы: 08:00 (1723); 15:00 (1113); 14:00 (1017); 10:00 (889); 17:00 (882). Запуск ПО: Trusted Zone (4298); - (4039); Kerberos (3913); Outlook-iOS-Android/1.0 (1833); DMZ Prod Infra Zone (245). События/ID: Microsoft-Windows-Security-Auditing (9745); TRAFFIC (4539); end (4085); 4624 (4041); An account was successfully logged on. (4041). Сетевые адреса/сайты: 10.50.11.6 (4555); 10.14.1.72 (4023); 10.14.1.71 (3400); 10.10.7.21 (525); 135.234.160.246 (163).,система,17077,2025-12-23 00:00:09 — 2025-12-23 23:59:44,08:00 (1723); 15:00 (1113); 14:00 (1017); 10:00 (889); 17:00 (882),Trusted Zone (4298); - (4039); Kerberos (3913); Outlook-iOS-Android/1.0 (1833); DMZ Prod Infra Zone (245),Microsoft-Windows-Security-Auditing (9745); TRAFFIC (4539); end (4085); 4624 (4041); An account was successfully logged on. (4041),user011 (17079); - (5701); spb-msg02$ (18); spb-msg01$ (15); cplus-nps01$ (3),,10.50.11.6 (4555); 10.14.1.72 (4023); 10.14.1.71 (3400); 10.10.7.21 (525); 135.234.160.246 (163),user011_SIEM_2025-12-23.csv; user011_PAN_2025-12-23.csv
user,user075,2025-12-23,low,События: 12877. Диапазон времени: 2025-12-23 00:00:27 — 2025-12-23 23:58:15. Пиковые часы: 09:00 (1542); 17:00 (923); 10:00 (784); 08:00 (724); 16:00 (660). Запуск ПО: Trusted Zone (3187); - (3046); Kerberos (2376); C:\\Windows\\System32\\svchost.exe (1022); NtLmSsp (610). События/ID: Microsoft-Windows-Security-Auditing (9004); TRAFFIC (3187); end (3187); 4624 (3046); An account was successfully logged on. (3046). Сетевые адреса/сайты: 10.14.1.72 (3847); 10.14.1.71 (3023); 10.50.32.7 (1682); 10.50.11.20 (805); 54.146.6.253 (188).,,12877,2025-12-23 00:00:27 — 2025-12-23 23:58:15,09:00 (1542); 17:00 (923); 10:00 (784); 08:00 (724); 16:00 (660),Trusted Zone (3187); - (3046); Kerberos (2376); C:\\Windows\\System32\\svchost.exe (1022); NtLmSsp (610),Microsoft-Windows-Security-Auditing (9004); TRAFFIC (3187); end (3187); 4624 (3046); An account was successfully logged on. (3046),user075 (12877); - (5559); tmtp-000247$ (1166); spb-msg01$ (60); spb-msg02$ (54),,10.14.1.72 (3847); 10.14.1.71 (3023); 10.50.32.7 (1682); 10.50.11.20 (805); 54.146.6.253 (188),user075_SIEM_2025-12-23.csv; user075_PAN_2025-12-23.csv
user,user046,2025-12-23,low,События: 6001. Диапазон времени: 2025-12-23 00:00:58 — 2025-12-23 23:59:38. Пиковые часы: 10:00 (525); 13:00 (446); 16:00 (445); 15:00 (345); 14:00 (326). Запуск ПО: - (1564); Trusted Zone (1346); Kerberos (1272); C:\\Windows\\System32\\svchost.exe (299); NtLmSsp (281). События/ID: Microsoft-Windows-Security-Auditing (4655); 4624 (1563); An account was successfully logged on. (1563); TRAFFIC (1346); end (1346). Сетевые адреса/сайты: 10.14.1.71 (3175); 10.50.35.32 (872); 10.50.11.20 (392); 10.14.1.72 (150); 158.160.193.161 (100).,,6001,2025-12-23 00:00:58 — 2025-12-23 23:59:38,10:00 (525); 13:00 (446); 16:00 (445); 15:00 (345); 14:00 (326),- (1564); Trusted Zone (1346); Kerberos (1272); C:\\Windows\\System32\\svchost.exe (299); NtLmSsp (281),Microsoft-Windows-Security-Auditing (4655); 4624 (1563); An account was successfully logged on. (1563); TRAFFIC (1346); end (1346),user046 (6001); - (3112); tmtp-000565$ (427),,10.14.1.71 (3175); 10.50.35.32 (872); 10.50.11.20 (392); 10.14.1.72 (150); 158.160.193.161 (100),user046_SIEM_2025-12-23.csv; user046_PAN_2025-12-23.csv
user,user053,2025-12-23,low,События: 13927. Диапазон времени: 2025-12-23 00:03:37 — 2025-12-23 23:59:42. Пиковые часы: 09:00 (1247); 11:00 (1214); 13:00 (1038); 14:00 (993); 10:00 (985). Запуск ПО: Trusted Zone (3642); - (3292); Kerberos (1860); NtLmSsp (1394); Apple-iPhone14C5/2207.100 (1181). События/ID: Microsoft-Windows-Security-Auditing (7729); TRAFFIC (3642); end (3642); 4624 (3292); An account was successfully logged on. (3292). Сетевые адреса/сайты: 10.14.1.71 (4203); 10.14.1.72 (3116); 10.50.11.20 (1511); 10.50.27.6 (944); 10.10.7.21 (344).,,13927,2025-12-23 00:03:37 — 2025-12-23 23:59:42,09:00 (1247); 11:00 (1214); 13:00 (1038); 14:00 (993); 10:00 (985),Trusted Zone (3642); - (3292); Kerberos (1860); NtLmSsp (1394); Apple-iPhone14C5/2207.100 (1181),Microsoft-Windows-Security-Auditing (7729); TRAFFIC (3642); end (3642); 4624 (3292); An account was successfully logged on. (3292),user053 (13927); - (5356); tmtp-000112$ (517); spb-msg02$ (51); spb-msg01$ (45),,10.14.1.71 (4203); 10.14.1.72 (3116); 10.50.11.20 (1511); 10.50.27.6 (944); 10.10.7.21 (344),user053_SIEM_2025-12-23.csv; user053_PAN_2025-12-23.csv
user,user056,2025-12-23,low,События: 6503. Диапазон времени: 2025-12-23 00:01:47 — 2025-12-23 23:59:52. Пиковые часы: 13:00 (523); 10:00 (435); 08:00 (433); 16:00 (424); 11:00 (423). Запуск ПО: Trusted Zone (2537); - (1826); Kerberos (1274); NtLmSsp (545); User32 (3). События/ID: Microsoft-Windows-Security-Auditing (3966); TRAFFIC (2537); end (2537); 4624 (1825); An account was successfully logged on. (1825). Сетевые адреса/сайты: 10.14.1.71 (2788); 10.50.11.20 (687); 10.14.1.72 (396); 135.233.45.223 (117); 130.193.50.30 (91).,,6503,2025-12-23 00:01:47 — 2025-12-23 23:59:52,13:00 (523); 10:00 (435); 08:00 (433); 16:00 (424); 11:00 (423),Trusted Zone (2537); - (1826); Kerberos (1274); NtLmSsp (545); User32 (3),Microsoft-Windows-Security-Auditing (3966); TRAFFIC (2537); end (2537); 4624 (1825); An account was successfully logged on. (1825),user056 (6503); - (2888); tmtp-005278$ (6),,10.14.1.71 (2788); 10.50.11.20 (687); 10.14.1.72 (396); 135.233.45.223 (117); 130.193.50.30 (91),user056_SIEM_2025-12-23.csv; user056_PAN_2025-12-23.csv
user,user050,2025-12-23,medium,События: 2293. Диапазон времени: 2025-12-23 00:00:32 — 2025-12-23 23:56:33. Пиковые часы: 11:00 (230); 13:00 (163); 16:00 (160); 14:00 (146); 09:00 (144). Запуск ПО: C:\\Windows\\System32\\svchost.exe (688); - (637); Kerberos (464); C:\\Windows\\System32\\RuntimeBroker.exe -Embedding (203); NtLmSsp (165). События/ID: Microsoft-Windows-Security-Auditing (2293); 4688 (875); A new process has been created. (875); 4624 (637); An account was successfully logged on. (637). Сетевые адреса/сайты: 10.14.1.72 (932); 10.50.30.15 (884); 10.14.1.71 (225); 10.50.11.20 (174); 10.37.2.83 (25).,,2293,2025-12-23 00:00:32 — 2025-12-23 23:56:33,11:00 (230); 13:00 (163); 16:00 (160); 14:00 (146); 09:00 (144),C:\\Windows\\System32\\svchost.exe (688); - (637); Kerberos (464); C:\\Windows\\System32\\RuntimeBroker.exe -Embedding (203); NtLmSsp (165),Microsoft-Windows-Security-Auditing (2293); 4688 (875); A new process has been created. (875); 4624 (637); An account was successfully logged on. (637),user050 (2293); - (1181); tmtp-000282$ (721),,10.14.1.72 (932); 10.50.30.15 (884); 10.14.1.71 (225); 10.50.11.20 (174); 10.37.2.83 (25),user050_SIEM_2025-12-23.csv
user,user007,2025-12-23,medium,События: 15028. Диапазон времени: 2025-12-23 00:00:04 — 2025-12-23 23:59:41. Пиковые часы: 12:00 (1648); 13:00 (1478); 14:00 (1165); 15:00 (1142); 07:00 (745). Запуск ПО: Trusted Zone (5026); Outlook-iOS-Android/1.0 (2070); - (1881); Kerberos (1718); C:\\Windows\\System32\\svchost.exe (832). События/ID: Microsoft-Windows-Security-Auditing (6911); TRAFFIC (5026); end (5026); 4624 (1909); An account was successfully logged on. (1909). Сетевые адреса/сайты: 10.14.1.71 (4458); 10.14.1.72 (3186); 10.50.21.99 (1676); 10.10.7.21 (349); 79.133.169.46 (324).,dwm-8,15028,2025-12-23 00:00:04 — 2025-12-23 23:59:41,12:00 (1648); 13:00 (1478); 14:00 (1165); 15:00 (1142); 07:00 (745),Trusted Zone (5026); Outlook-iOS-Android/1.0 (2070); - (1881); Kerberos (1718); C:\\Windows\\System32\\svchost.exe (832),Microsoft-Windows-Security-Auditing (6911); TRAFFIC (5026); end (5026); 4624 (1909); An account was successfully logged on. (1909),user007 (15028); - (4265); tmtp-000323$ (898); user002 (30); spb-msg02$ (21),,10.14.1.71 (4458); 10.14.1.72 (3186); 10.50.21.99 (1676); 10.10.7.21 (349); 79.133.169.46 (324),user007_SIEM_2025-12-23.csv; user007_PAN_2025-12-23.csv
user,user039,2025-12-23,medium,События: 7103. Диапазон времени: 2025-12-23 00:01:08 — 2025-12-23 23:59:22. Пиковые часы: 17:00 (530); 18:00 (530); 09:00 (419); 10:00 (393); 15:00 (337). Запуск ПО: - (1663); Kerberos (1345); Trusted Zone (1183); Android/12-EAS-2.0 (364); C:\\Windows\\System32\\svchost.exe (292). События/ID: Microsoft-Windows-Security-Auditing (4953); 4624 (1663); An account was successfully logged on. (1663); An account was logged off. (1317); 4634 (1317). Сетевые адреса/сайты: 10.14.1.72 (3736); 10.14.1.71 (953); 10.50.30.112 (623); 10.50.11.20 (280); 158.160.193.161 (73).,,7103,2025-12-23 00:01:08 — 2025-12-23 23:59:22,17:00 (530); 18:00 (530); 09:00 (419); 10:00 (393); 15:00 (337),- (1663); Kerberos (1345); Trusted Zone (1183); Android/12-EAS-2.0 (364); C:\\Windows\\System32\\svchost.exe (292),Microsoft-Windows-Security-Auditing (4953); 4624 (1663); An account was successfully logged on. (1663); An account was logged off. (1317); 4634 (1317),user039 (7107); - (3163); tmtp-000187$ (356); spb-msg01$ (48); spb-msg02$ (42),,10.14.1.72 (3736); 10.14.1.71 (953); 10.50.30.112 (623); 10.50.11.20 (280); 158.160.193.161 (73),user039_SIEM_2025-12-23.csv; user039_PAN_2025-12-23.csv
user,user051,2025-12-23,medium,События: 18180. Диапазон времени: 2025-12-23 00:00:03 — 2025-12-23 23:59:58. Пиковые часы: 21:00 (1533); 23:00 (1238); 22:00 (1168); 09:00 (918); 10:00 (860). Аномальное время работы (ночь/поздний вечер): 23:00 (1238); 22:00 (1168). Запуск ПО: - (9721); NtLmSsp (6262); Trusted Zone (3438); Kerberos (3370); %%2313 (80). События/ID: Microsoft-Windows-Security-Auditing (13221); An account was successfully logged on. (9641); 4624 (9641); end (3438); TRAFFIC (3438). Сетевые адреса/сайты: 10.50.11.20 (4110); 10.50.21.24 (3669); 10.14.1.72 (3539); 10.14.1.71 (1553); 46.17.203.45 (814).,,18180,2025-12-23 00:00:03 — 2025-12-23 23:59:58,21:00 (1533); 23:00 (1238); 22:00 (1168); 09:00 (918); 10:00 (860),- (9721); NtLmSsp (6262); Trusted Zone (3438); Kerberos (3370); %%2313 (80),Microsoft-Windows-Security-Auditing (13221); An account was successfully logged on. (9641); 4624 (9641); end (3438); TRAFFIC (3438),user051 (18182); - (11410); tmtp-003541$ (6); cplus-nps01$ (3); tmtp-002693-lt$ (2),,10.50.11.20 (4110); 10.50.21.24 (3669); 10.14.1.72 (3539); 10.14.1.71 (1553); 46.17.203.45 (814),user051_SIEM_2025-12-23.csv; user051_PAN_2025-12-23.csv
