entity_type,entity,date,severity,top_contributors,real_user,event_count,time_range,top_hours,top_programs,top_event_names,top_users,top_hosts,top_addresses,source_files
user,user019,2025-12-21,low,"siem_unique_event_class:-3.37 (v=10, base=22); siem_unique_name:-2.45 (v=10, base=24); is_weekend:+2.32 (v=1, base=0); pan_unique_destination_addr:-1.64 (v=147, base=212); day_of_week:+1.57 (v=6, base=2)",,8830,2025-12-21 00:00:24 — 2025-12-21 23:59:41,02:00 (422); 18:00 (422); 10:00 (420); 09:00 (395); 19:00 (394),Trusted Zone (2651); NtLmSsp (1563); The username you typed does not eXist. Bad username. (1440); - (329); No errors. (288),Microsoft-Windows-Security-Auditing (6179); TRAFFIC (2651); deny (1877); 4624 (1769); An account was successfully logged on. (1769),user019 (8890); - (1917),,10.37.2.37 (4320); 10.37.2.7 (375); 10.14.1.72 (159); 10.14.1.71 (138); 10.14.1.12 (136),user019_SIEM_2025-12-21.csv; user019_PAN_2025-12-21.csv
user,user022,2025-12-21,low,"is_weekend:+2.32 (v=1, base=0); day_of_week:+1.57 (v=6, base=2); pan_unique_destination_addr:-1.31 (v=299, base=606); siem_business_share:-1.24 (v=0, base=0); siem_unique_destination_addr:-1.23 (v=11, base=21)",,16641,2025-12-21 00:00:05 — 2025-12-21 23:59:43,19:00 (909); 13:00 (878); 11:00 (841); 10:00 (775); 07:00 (766),Trusted Zone (9495); - (1717); Kerberos (1700); Outlook-iOS-Android/1.0 (1498); DMZ Prod Infra Zone (128),TRAFFIC (9618); end (9484); Microsoft-Windows-Security-Auditing (4773); 4624 (1719); An account was successfully logged on. (1719),user022 (15851); - (3022); user024 (790); spb-msg01$ (6),,10.14.1.71 (3484); 10.14.1.72 (2342); 10.50.11.6 (814); 79.133.168.40 (590); 213.180.193.234 (506),user022_SIEM_2025-12-21.csv; user022_PAN_2025-12-21.csv
user,user055,2025-12-21,low,"siem_events_total:-3.14 (v=6439, base=15238); is_weekend:+2.32 (v=1, base=0); siem_unique_source_process:-2.27 (v=16, base=34); day_of_week:+1.57 (v=6, base=2); siem_unique_destination_addr:-1.48 (v=10, base=16)",,9267,2025-12-21 00:00:03 — 2025-12-21 23:59:40,10:00 (595); 19:00 (467); 15:00 (425); 12:00 (419); 03:00 (410),Trusted Zone (2828); - (2107); Kerberos (1812); C:\\Windows\\System32\\svchost.exe (692); NtLmSsp (295),Microsoft-Windows-Security-Auditing (6439); TRAFFIC (2828); end (2828); An account was successfully logged on. (2107); 4624 (2107),user055 (9267); - (3953); tmtp-000362$ (728),,10.14.1.72 (3467); 10.14.1.71 (1732); 10.50.30.87 (836); 213.180.193.234 (495); 10.50.11.20 (312),user055_SIEM_2025-12-21.csv; user055_PAN_2025-12-21.csv
user,user004,2025-12-21,low,"siem_night_share:+2.68 (v=0, base=0); is_weekend:+2.32 (v=1, base=0); pan_share_of_all_events:-2.28 (v=1, base=1); siem_business_share:-1.98 (v=0, base=0); pan_unique_event_class:-1.64 (v=1, base=2)",,15792,2025-12-21 00:00:09 — 2025-12-21 23:59:58,11:00 (1067); 13:00 (844); 19:00 (815); 15:00 (796); 21:00 (717),Trusted Zone (8720); Outlook-iOS-Android/1.0 (1908); - (1404); Kerberos (1302); C:\\Windows\\System32\\svchost.exe (128),TRAFFIC (8720); end (8720); Microsoft-Windows-Security-Auditing (4209); 4624 (1419); An account was successfully logged on. (1419),user004 (15792); - (2744); tmtp-000085$ (167); spb-msg02$ (18); spb-msg01$ (12),,10.14.1.72 (3781); 10.14.1.71 (2406); 79.133.169.61 (700); 79.133.169.102 (593); 79.133.171.3 (507),user004_SIEM_2025-12-21.csv; user004_PAN_2025-12-21.csv
user,user075,2025-12-21,low,"pan_unique_destination_addr:-2.40 (v=214, base=314); pan_unique_event_class:-2.35 (v=1, base=3); is_weekend:+2.32 (v=1, base=0); siem_unique_source_process:-2.19 (v=17, base=30); siem_unique_event_class:-2.02 (v=7, base=10)",,8813,2025-12-21 00:01:05 — 2025-12-21 23:58:55,10:00 (467); 11:00 (452); 15:00 (430); 21:00 (429); 19:00 (412),Trusted Zone (2507); - (1786); Kerberos (1730); C:\\Windows\\System32\\svchost.exe (802); C:\\Windows\\System32\\RuntimeBroker.exe -Embedding (239),Microsoft-Windows-Security-Auditing (6111); end (2507); TRAFFIC (2507); 4624 (1786); An account was successfully logged on. (1786),user075 (8813); - (3469); tmtp-000247$ (815); spb-msg01$ (54); spb-msg02$ (30),,10.14.1.72 (2970); 10.14.1.71 (2254); 10.50.32.7 (867); 172.178.240.162 (201); 54.146.6.253 (179),user075_SIEM_2025-12-21.csv; user075_PAN_2025-12-21.csv
user,user001,2025-12-21,medium,"siem_unique_name:+8.09 (v=22, base=10); siem_unique_event_class:+6.74 (v=20, base=10); pan_unique_hours:-3.75 (v=18, base=24); is_weekend:+2.32 (v=1, base=0); siem_unique_destination_addr:-2.02 (v=20, base=23)",,11480,2025-12-21 00:01:05 — 2025-12-21 23:59:12,11:00 (1025); 08:00 (913); 10:00 (904); 09:00 (787); 19:00 (652),Outlook-iOS-Android/1.0 (2165); Trusted Zone (1813); - (1466); Kerberos (1345); C:\\Windows\\System32\\svchost.exe (657),Microsoft-Windows-Security-Auditing (4928); TRAFFIC (1813); end (1813); 4624 (1467); An account was successfully logged on. (1467),user001 (11484); - (2771); tmtp-003672$ (721); spb-msg01$ (48); spb-msg02$ (39),,10.14.1.72 (5604); 10.14.1.71 (1642); 10.50.101.5 (790); 10.10.7.21 (468); 135.233.45.222 (99),user001_SIEM_2025-12-21.csv; user001_PAN_2025-12-21.csv
user,user044,2025-12-21,medium,"pan_unique_hours:-31.70 (v=0, base=24); pan_share_of_all_events:-6.48 (v=0, base=1); pan_unique_name:-5.48 (v=0, base=1); pan_business_share:-4.46 (v=0, base=0); siem_unique_source_process:-3.71 (v=1, base=6)",,824,2025-12-21 00:03:57 — 2025-12-21 23:59:06,19:00 (123); 17:00 (80); 18:00 (71); 11:00 (44); 15:00 (36),Apple-iPhone16C2/2302.85 (149); Advapi (30); - (30); Apple-iPad14C6/2207.100 (13); KDC_ERR_NONE (6),Microsoft-Windows-Security-Auditing (126); A logon was attempted using explicit credentials. (30); An account was successfully logged on. (30); Group membership information. (30); An account was logged off. (30),user044 (824); spb-msg02$ (48); spb-msg01$ (42),,10.14.1.72 (651); 10.14.1.71 (106); 10.10.7.21 (31); 10.37.2.7 (4); 10.37.2.5 (2),user044_SIEM_2025-12-21.csv
user,user053,2025-12-21,medium,"siem_unique_event_class:+3.37 (v=21, base=11); pan_unique_event_class:-2.35 (v=1, base=3); is_weekend:+2.32 (v=1, base=0); siem_unique_name:+1.72 (v=24, base=12); siem_unique_source_process:-1.62 (v=12, base=24)",,9845,2025-12-21 00:00:47 — 2025-12-21 23:59:55,11:00 (767); 05:00 (703); 07:00 (563); 09:00 (517); 12:00 (485),- (2994); Kerberos (1646); NtLmSsp (1299); Trusted Zone (1106); Apple-iPhone14C5/2207.100 (685),Microsoft-Windows-Security-Auditing (6747); An account was successfully logged on. (2994); 4624 (2994); An account was logged off. (1601); 4634 (1601),user053 (9847); - (4592); tmtp-000112$ (379); spb-msg02$ (72); spb-msg01$ (72),,10.14.1.71 (3414); 10.14.1.72 (2635); 10.50.11.20 (1370); 10.50.27.6 (499); 10.10.7.21 (121),user053_SIEM_2025-12-21.csv; user053_PAN_2025-12-21.csv
user,user051,2025-12-21,medium,"siem_unique_event_class:+6.07 (v=15, base=6); siem_unique_name:+4.72 (v=17, base=6); is_weekend:+2.39 (v=1, base=0); siem_business_share:-2.21 (v=0, base=0); day_of_week:+1.57 (v=6, base=2)",,9887,2025-12-21 00:00:26 — 2025-12-21 23:58:59,19:00 (828); 23:00 (755); 22:00 (717); 21:00 (698); 20:00 (674),Trusted Zone (2896); - (1649); Kerberos (1529); NtLmSsp (99); %%2313 (25),Microsoft-Windows-Security-Auditing (4483); TRAFFIC (2896); end (2896); 313005 (2481); No matching connection for ICMP (2481),user051 (9893); - (2989); tmtp-002693-lt$ (8); cplus-nps01$ (7),,10.14.1.71 (3636); 46.17.203.45 (821); 10.14.1.72 (379); 46.17.203.250 (236); 10.14.1.12 (196),user051_SIEM_2025-12-21.csv; user051_PAN_2025-12-21.csv
user,user006,2025-12-21,medium,"siem_night_share:+3.91 (v=0, base=0); is_weekend:+2.32 (v=1, base=0); siem_unique_event_class:+2.19 (v=16, base=10); siem_unique_name:+2.02 (v=18, base=10); siem_business_share:-1.71 (v=0, base=0)",,7123,2025-12-21 00:00:05 — 2025-12-21 23:59:46,19:00 (492); 11:00 (418); 18:00 (369); 16:00 (351); 07:00 (344),Trusted Zone (2946); - (1731); Kerberos (1359); NtLmSsp (367); Negotiat (2),Microsoft-Windows-Security-Auditing (4139); TRAFFIC (2912); end (2898); 4624 (1731); An account was successfully logged on. (1731),user006 (7125); - (2928); tmtp-004132$ (4); cplus-nps01$ (3),,10.14.1.71 (2207); 10.14.1.72 (1385); 10.50.11.20 (454); 213.180.193.234 (302); 84.201.132.175 (102),user006_SIEM_2025-12-21.csv; user006_PAN_2025-12-21.csv
user,user011,2025-12-21,medium,"is_weekend:+2.32 (v=1, base=0); pan_night_share:+2.09 (v=1, base=0); pan_unique_hours:-2.02 (v=22, base=24); siem_unique_destination_addr:-2.02 (v=6, base=15); siem_unique_category:+1.97 (v=2, base=1)",,2966,2025-12-21 00:03:57 — 2025-12-21 23:59:12,03:00 (274); 04:00 (269); 11:00 (236); 19:00 (199); 08:00 (175),Outlook-iOS-Android/1.0 (1181); Trusted Zone (897); DMZ Prod Infra Zone (200); KDC_ERR_NONE (36); Advapi (16),TRAFFIC (1094); deny (690); end (404); Microsoft-Windows-Security-Auditing (100); 4768 (36),user011 (2966); spb-msg02$ (30); spb-msg01$ (18),,10.14.1.72 (1168); 10.14.1.71 (516); 10.10.7.21 (333); 79.133.168.37 (41); 79.133.170.25 (35),user011_SIEM_2025-12-21.csv; user011_PAN_2025-12-21.csv
user,user046,2025-12-21,medium,"pan_unique_name:-5.48 (v=0, base=1); pan_business_share:-4.87 (v=0, base=0); pan_unique_hours:-4.37 (v=0, base=24); pan_events_total:-4.02 (v=0, base=1279); pan_unique_event_class:-3.81 (v=0, base=1)",,2045,2025-12-21 00:03:09 — 2025-12-21 23:58:13,15:00 (165); 16:00 (99); 11:00 (93); 13:00 (92); 08:00 (91),Kerberos (533); - (533); C:\\Windows\\System32\\svchost.exe (198); taskhostw.exe Install $(Arg0) (148); \\??\\C:\\WINDOWS\\system32\\conhost.exe 0xffffffff -ForceV1 (132),Microsoft-Windows-Security-Auditing (2045); An account was successfully logged on. (533); 4624 (533); An account was logged off. (521); Group membership information. (521),user046 (2045); - (1229); tmtp-000565$ (295),,10.14.1.71 (1551); 10.50.35.32 (470); 10.37.7.77 (12); 10.10.5.71 (6); 10.50.11.167 (4),user046_SIEM_2025-12-21.csv
user,user027,2025-12-21,medium,"pan_unique_name:-999.00 (v=0, base=1); pan_unique_hours:-10.16 (v=0, base=24); pan_unique_event_class:-3.50 (v=0, base=2); pan_unique_destination_addr:-3.42 (v=0, base=282); pan_business_share:-3.39 (v=0, base=0)",,6442,2025-12-21 00:00:17 — 2025-12-21 23:59:12,11:00 (444); 19:00 (378); 15:00 (329); 13:00 (325); 03:00 (316),- (1800); Outlook-iOS-Android/1.0 (1418); Kerberos (1314); NtLmSsp (469); Advapi (13),Microsoft-Windows-Security-Auditing (4316); 4624 (1796); An account was successfully logged on. (1796); An account was logged off. (1245); 4634 (1245),user027 (6442); - (3018); spb-msg01$ (24); spb-msg02$ (15),,10.14.1.71 (3750); 10.14.1.72 (1865); 10.50.11.20 (520); 10.10.7.21 (236); 10.50.11.35 (16),user027_SIEM_2025-12-21.csv
user,user005,2025-12-21,medium,"pan_business_share:-9.26 (v=0, base=0); pan_events_total:-8.01 (v=0, base=9836); pan_night_share:-7.01 (v=0, base=0); pan_unique_name:-5.48 (v=0, base=1); siem_night_share:+4.22 (v=0, base=0)",,5244,2025-12-21 00:01:08 — 2025-12-21 23:59:15,11:00 (350); 08:00 (320); 15:00 (234); 19:00 (227); 13:00 (223),- (1326); Kerberos (1284); C:\\Windows\\System32\\sc.exe (278); \\??\\C:\\WINDOWS\\system32\\conhost.exe 0xffffffff -ForceV1 (278); C:\\Program Files (x86)\\ASCON\\ASCON Services\\Ascon.AU.ControlCenter.exe (278),Microsoft-Windows-Security-Auditing (4706); 4624 (1329); An account was successfully logged on. (1329); 4627 (1298); Group membership information. (1298),user005 (5244); - (3136); tmtp-000143$ (112); spb-msg01$ (69); spb-msg02$ (66),,10.14.1.72 (2347); 10.14.1.71 (2046); 10.50.34.12 (721); 10.37.2.7 (27); 10.50.11.35 (16),user005_SIEM_2025-12-21.csv
user,user039,2025-12-21,medium,"pan_unique_name:-5.48 (v=0, base=1); pan_unique_hours:-4.98 (v=0, base=24); pan_share_of_all_events:-4.14 (v=0, base=0); siem_unique_source_process:-3.47 (v=9, base=27); pan_unique_destination_addr:-3.00 (v=0, base=220)",,4890,2025-12-21 00:00:01 — 2025-12-21 23:59:53,19:00 (267); 11:00 (231); 07:00 (218); 16:00 (213); 10:00 (211),- (1413); Kerberos (1215); Android/12-EAS-2.0 (300); C:\\Windows\\System32\\svchost.exe (195); NtLmSsp (179),Microsoft-Windows-Security-Auditing (4196); An account was successfully logged on. (1413); 4624 (1413); An account was logged off. (1223); Group membership information. (1223),user039 (4890); - (2704); tmtp-000187$ (203); spb-msg01$ (33); spb-msg02$ (24),,10.14.1.72 (3508); 10.14.1.71 (802); 10.50.30.112 (309); 10.50.11.20 (161); 10.10.7.21 (41),user039_SIEM_2025-12-21.csv
user,user007,2025-12-21,medium,"pan_unique_name:-999.00 (v=0, base=1); pan_unique_hours:-8.92 (v=0, base=24); pan_night_share:-3.86 (v=0, base=0); pan_business_share:-3.79 (v=0, base=0); pan_unique_destination_addr:-3.64 (v=0, base=359)",,6324,2025-12-21 00:00:15 — 2025-12-21 23:59:12,11:00 (450); 19:00 (336); 15:00 (317); 13:00 (296); 07:00 (292),Outlook-iOS-Android/1.0 (1274); - (1265); Kerberos (1206); C:\\Windows\\System32\\svchost.exe (540); C:\\Windows\\System32\\RuntimeBroker.exe -Embedding (176),Microsoft-Windows-Security-Auditing (4413); 4624 (1267); An account was successfully logged on. (1267); 4627 (1229); Group membership information. (1229),user007 (6324); - (2601); tmtp-000323$ (541); spb-msg02$ (21); spb-msg01$ (6),,10.14.1.71 (2832); 10.14.1.72 (2512); 10.50.21.99 (670); 10.10.7.21 (241); 10.50.11.35 (15),user007_SIEM_2025-12-21.csv
user,user041,2025-12-21,medium,"pan_unique_hours:-5.80 (v=0, base=22); pan_unique_name:-5.48 (v=0, base=1); pan_business_share:-4.28 (v=0, base=0); pan_unique_destination_addr:-3.45 (v=0, base=302); siem_unique_source_process:-3.37 (v=1, base=6)",,1956,2025-12-21 00:04:19 — 2025-12-21 23:59:12,11:00 (226); 19:00 (150); 03:00 (130); 13:00 (126); 15:00 (119),Outlook-iOS-Android/1.0 (1273); Advapi (12); - (12),Microsoft-Windows-Security-Auditing (49); A logon was attempted using explicit credentials. (12); An account was logged off. (12); Group membership information. (12); An account was successfully logged on. (12),user041 (1956); spb-msg01$ (27); spb-msg02$ (9),,10.14.1.71 (1185); 10.14.1.72 (514); 10.10.7.21 (244); 10.37.2.7 (1),user041_SIEM_2025-12-21.csv
user,user043,2025-12-21,medium,"siem_unique_source_process:-8.94 (v=1, base=54); siem_unique_destination_addr:-5.73 (v=4, base=21); siem_events_total:-4.28 (v=2395, base=9581); siem_business_share:-3.42 (v=0, base=1); pan_unique_hours:-3.37 (v=0, base=20)",,2395,2025-12-21 00:09:13 — 2025-12-21 23:54:13,11:00 (287); 19:00 (219); 07:00 (186); 03:00 (167); 02:00 (133),Outlook-iOS-Android/1.0 (1208); Apple-iPhone12C1/2303.55 (214); Advapi (7); - (7); KDC_ERR_NONE (2),Microsoft-Windows-Security-Auditing (30); A logon was attempted using explicit credentials. (7); An account was successfully logged on. (7); Group membership information. (7); An account was logged off. (7),user043 (2395); spb-msg02$ (18); spb-msg01$ (3),,10.14.1.71 (1543); 10.14.1.72 (597); 10.10.7.21 (246); 10.10.5.11 (2),user043_SIEM_2025-12-21.csv
host,tmtp-000112,2025-12-21,critical,"siem_unique_source_process:-3.67 (v=24, base=48); siem_unique_event_class:+3.37 (v=22, base=12); pan_unique_event_class:-2.35 (v=1, base=3); is_weekend:+2.32 (v=1, base=0); pan_share_of_all_events:-1.57 (v=0, base=0)",,12358,2025-12-21 00:00:04 — 2025-12-21 23:59:55,11:00 (887); 05:00 (747); 00:00 (740); 07:00 (647); 12:00 (634),- (3238); Kerberos (1758); NtLmSsp (1299); C:\\Windows\\System32\\svchost.exe (1242); Trusted Zone (1106),Microsoft-Windows-Security-Auditing (9260); An account was successfully logged on. (3265); 4624 (3265); 4688 (2402); A new process has been created. (2402),user053 (10226); - (6176); tmtp-000112$ (3269); user036 (147); spb-msg02$ (72),,10.14.1.71 (3414); 10.50.27.6 (2982); 10.14.1.72 (2635); 10.50.11.20 (1370); 10.10.7.21 (121),tmtp-000112_SIEM_2025-12-21.csv; tmtp-000112_PAN_2025-12-21.csv
host,tmtp-003612,2025-12-21,high,"siem_unique_users:+2.36 (v=13, base=6); is_weekend:+2.27 (v=1, base=0); siem_business_share:-2.01 (v=0, base=1); day_of_week:+1.57 (v=6, base=2); siem_night_share:+1.15 (v=0, base=0)",,2489,2025-12-21 00:00:33 — 2025-12-21 20:10:52,08:00 (971); 10:00 (230); 12:00 (150); 18:00 (148); 16:00 (143),C:\\Windows\\System32\\svchost.exe (856); C:\\Windows\\System32\\services.exe (560); - (396); Advapi (310); C:\\Windows\\System32\\SearchIndexer.exe (199),Microsoft-Windows-Security-Auditing (2489); 4688 (1835); A new process has been created. (1833); An account was successfully logged on. (411); 4624 (411),tmtp-003612$ (2811); - (1176); user099 (500); user036 (292); user002 (101),,10.50.30.9 (2445); 10.50.11.6 (24); 10.50.11.34 (15); 10.37.7.77 (3); 10.50.11.20 (1),tmtp-003612_SIEM_2025-12-21.csv
